Duns,BusinessName,DbaName,City,State,Phone,CompanyEmail,WebSite,LastVerified,ExpirationDate,Address,County,Zip,ZipSuffix,BusinessType,YearEstablished,CageCode,PurchaseCard,SDVOSB,WOSB,MOSB,Sb8A,HubZone,Employees,VeteranEmployees,OperatingLocations,AnnualRevenue,LargestContract,BondingLevel,Aggregate,FaxNumber,Naics,Fsc,Psc,GeographicalServiceArea,CommercialContracts,DodContracts,FSS,LastModified,MentorProtege,JointVenture
078705297,Eugene Robinson,Anadine Design Management,Buffalo,NY,7165636156,anadine51@yahoo.com,,9/10/2015 12:00:00 AM,9/10/2017 12:00:00 AM,1048 Kensington Avenue,Erie,14215,,Sole Proprietorship,2007.0,     ,No,Yes,No,No,No,No,1.0,,1.0,,,,,,"236118, 236220, 237310, 238220, 238910, 238990, 531311, 531312, 541611, 561110, 561730",,,NY,No,No,No,8/25/2016 9:20:39 AM,No,No
117941695," DL Stone Enterprises, LLC ",Stone Enterprises,Garden Ridge,TX,2106960919,sales@stonespecialties.com,stonespecialties.com,12/23/2015 12:00:00 AM,12/23/2017 12:00:00 AM,9027 Cinnabar Ct,Comal,78266,2246,Limited Liability Company (LLC),1996.0,1N4G9,Yes,Yes,No,No,No,No,2.0,,1.0,,,,,2103954448,"313110, 314910, 315190, 315210, 315240, 316998, 323113, 325211, 326113, 332215, 423610, 454111","7320, 7340, 8105, 8405, 8410, 8520",,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY",Yes,No,No,2/6/2016 11:36:08 PM,No,No
961566031," Friendship SDVB , LLC",,Austin,TX,4798761012,friendshipco@mindspring.com,friendshipcompany1.com,12/10/2015 12:00:00 AM,12/10/2017 12:00:00 AM,4500 Steiner Ranch Blvd<br>APT 3505,Travis,72715,5390,Limited Liability Company (LLC),1995.0,1BZV6,Yes,Yes,No,No,No,No,1.0,,1.0,,,,,5125140117,"236220, 311991, 325120, 423420, 423430, 423990, 541513, 541519, 541611, 541612, 541614, 541620, 561110, 561410, 561611, 561720",6830,,XX,Yes,Yes,Yes,12/10/2015 1:07:04 PM,No,No
791265882, International Mortuary Shipping LLC,,Union,SC,8644660100,sprow@charter.net,internationalmortuaryshipping.com,9/15/2016 12:00:00 AM,9/15/2018 12:00:00 AM,311 W. South Street,Union,29379,2838,Limited Liability Company (LLC),2004.0,5LRM9,Yes,Yes,No,No,No,No,7.0,,1.0,,,,,8644660701,"812210, 812220",,,XX,No,No,No,9/15/2016 9:39:11 AM,No,No
808852177,(CMR) Services Inc.,,Royse City,TX,3039013455,clayrankin79@gmail.com,,5/18/2015 12:00:00 AM,5/18/2017 12:00:00 AM,9685 CR 2470,Rockwall,75189,,Sub Chapter S Corporation (Inc. or Ltd.),1993.0,51T70,No,Yes,No,No,No,No,2.0,,2.0,,,,,,"112111, 561611",,"AA95, AB10","CO, TX",No,No,No,7/20/2015 12:59:42 PM,No,No
961644957,"(RAMS) Rapid Acquisition Management Solutions, LLC.",,Troy,AL,3348084141,rodney.wilson@teamrams.com,www.teamrams.com,4/22/2016 12:00:00 AM,4/22/2018 12:00:00 AM,4205 County Rd 5513 ste A,Pike,36081,6049,Limited Liability Company (LLC),2010.0,5WCY2,Yes,Yes,Yes,Yes,No,Yes,3.0,,1.0,,,,,3348081354,"423430, 423450, 423490, 423690, 524114, 541219, 541330, 541380, 541519, 541611, 541618, 541690, 541720, 541990, 561110, 561210, 561499, 561990, 621111, 621112, 621210, 621399, 621498, 621511, 621999, 811219, 812990, 813211",,,"AL, FL, GA, MS, TN",No,No,No,4/22/2016 10:15:28 AM,No,No
078569281,*Ms. VETERAN,STAR SERVICES NW,SPOKANE VALLEY,WA,5099956083,StarServicesNW@gmail.com,,8/14/2015 12:00:00 AM,8/14/2017 12:00:00 AM,8305 EAST BOONE,Spokane,99212,,Limited Liability Company (LLC),2012.0,6CXZ1,No,Yes,No,No,No,No,1.0,,1.0,,,,,,"541611, 541612, 541613, 541618, 561110, 611430, 611699, 611710",,,XX,No,No,No,8/14/2015 11:02:54 AM,No,No
964043546,1 ABLE REALTY LLC,,Orlando,FL,4078945855,jarrett@1ablerealty.com,www.1ablerealty.com,2/5/2016 12:00:00 AM,2/5/2018 12:00:00 AM,3101 Maguire Blvd Suite 200,Orange,32803,,Limited Liability Company (LLC),2009.0,,No,Yes,No,No,No,No,6.0,,3.0,,,,,4072103300,531210,,,FL,No,No,No,2/5/2016 10:33:44 AM,No,No
078850953,"1 B&G Medical Solutions, LLC","1 B&G Medical Solutions, LLC",Fort Worth,TX,8178474077,gloria.russell60@yahoo.com,,11/27/2015 12:00:00 AM,11/27/2017 12:00:00 AM,853 Kentucky Derby Lane,Tarrant,76179,7323,Limited Liability Company (LLC),2013.0,6ZLM9,Yes,Yes,Yes,Yes,No,No,2.0,,2.0,,,,,8178474077,"325110, 423450",,,"MO, TX",No,No,No,11/27/2015 11:47:07 AM,No,No
808069376,"1 SOURCE SOLUTIONS, LLC",,Suffolk,VA,7576856510,sales@1ssolutions.com,www.1ssolutions.com,1/15/2015 7:46:35 AM,1/15/2017 7:46:35 AM,6505 Harbour Pointe Drive,Suffolk City,23435,,Limited Liability Company (LLC),2007.0,4WSS1,Yes,Yes,Yes,Yes,No,No,2.0,,1.0,,,,,8885062950,"323117, 333314, 334510, 339112, 339113, 339115, 423430, 423450, 423460, 423710, 423840, 444130, 446130, 446199, 561439","1240, 4240, 6510, 6515, 6520, 6530, 6532, 6545, 6550, 6650",,"AL, CO, DC, FL, GA, MD, NC, NV, OH, TX, VA, WA, WV",No,Yes,No,1/15/2015 7:46:35 AM,No,No
829426159,1 VETERANS HEALTH INC,,Edmond,OK,4057715070,tgncol@cox.net,,1/16/2015 2:17:51 PM,1/16/2017 2:17:51 PM,6801 NE 109th Street,Oklahoma,73013,8370,C Corporation (Inc. or Ltd.),2009.0,5AXU6,Yes,Yes,No,No,Yes,No,2.0,,2.0,,,,,4057715071,"325411, 325412, 325998, 423450, 423460, 423490, 424210, 561730","1370, 5865, 6505, 6508, 6510, 6515, 6520, 6525, 6540, 6545, 6550, 6850, 9920",,,No,No,No,6/22/2016 1:17:47 PM,No,No
079723521,1-2-1 Consulting LLC,,Capitola,CA,8318547453,elden.o.charles@gmail.com,,8/12/2015 12:00:00 AM,8/12/2017 12:00:00 AM,211 Stockton Ave Apt 6,Santa Cruz,95010,,Limited Liability Company (LLC),2015.0,7CNM8,No,Yes,No,Yes,No,No,1.0,,1.0,,,,,8315157595,"115115, 236115, 236116, 237130, 237310, 325998, 424490, 424690, 523110, 523910, 523920, 523930, 524113, 524114, 524126, 524210, 525110, 531190, 531210, 541611, 561612, 812990","1370, 5865, 6850, 9920",,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WV, WY",No,No,No,9/2/2015 3:50:09 PM,No,No
626780824,"1-800-Asphalt, LLC",,Anchorage,AK,9072774258,admin@1800asphaltalaska.com,www.1800asphaltalaska.com,7/6/2016 12:00:00 AM,7/6/2018 12:00:00 AM,15041 old seward,Anchorage,99516,,Limited Liability Company (LLC),1997.0,3WAB9,No,Yes,No,No,No,No,12.0,,1.0,,,,,9075661766,"237310, 238910, 238990, 484220, 561730",,,"AK, XX",Yes,No,No,7/6/2016 7:56:08 AM,No,No
144371296,"10-8 Retrofit, Inc.",,Ontario,CA,9099865551,ar-ap@10-8retrofit.com,www.10-8retrofit.com,7/28/2016 12:00:00 AM,7/28/2018 12:00:00 AM,415 W. Main St,San Bernardino,91762,,Sub Chapter S Corporation (Inc. or Ltd.),1992.0,41HY5,No,No,No,No,No,No,16.0,,1.0,,,,,9099865506,"441310, 811118, 811213",,,CA,Yes,No,No,7/28/2016 12:46:05 PM,No,No
080052846,"100 VETS, Inc.",,Mary Esther,FL,8504990787,terry.bee@100vets.com,www.100vets.com,4/26/2016 12:00:00 AM,4/26/2018 12:00:00 AM,210 Wynnehaven Beach Rd,Okaloosa,32569,,Sub Chapter S Corporation (Inc. or Ltd.),2014.0,,No,Yes,No,No,No,No,3.0,,1.0,,,,,8506843979,561311,,,FL,No,No,No,4/26/2016 1:14:29 PM,No,No
829351654,"101 Telco Solutions, Inc.",,Waxahachie,TX,4697323570,mike.fogelsonger@101telco.com,101telco.com,12/15/2015 12:00:00 AM,12/15/2017 12:00:00 AM,108 Industrial Drive,Ellis,75165,,C Corporation (Inc. or Ltd.),2008.0,7EDB9,Yes,Yes,No,No,No,No,5.0,,2.0,,,,,8054770303,"541990, 811212, 811213, 811219",,,XX,No,No,No,12/15/2015 10:31:12 AM,No,No
079476401,101st Services Corporation,,Lake Elsinore,CA,8884801781,erik@101stServices.com,www.101stServices.com,10/14/2014 12:00:00 AM,10/14/2016 12:00:00 AM,31939 Hollyhock Way,Riverside,92532,,Sub Chapter S Corporation (Inc. or Ltd.),2013.0,,No,Yes,No,No,No,No,3.0,,1.0,,,,,,"423420, 518210, 541519, 611420, 611519, 811212",,,CA,No,No,No,6/14/2016 1:38:55 PM,No,No
078405275,1102 Co.,,Annandale,VA,3057882899,ContactUs@1102co.com,www.1102Co.com,10/22/2014 12:00:00 AM,10/22/2016 12:00:00 AM,6920 Braddock Rd<br>suite B216,Fairfax,22003,,Sub Chapter S Corporation (Inc. or Ltd.),2011.0,6NWK3,No,Yes,No,Yes,Yes,No,4.0,,1.0,,,,,,"332994, 336413, 541511, 541512, 541612","1005, 1550, 1560, 1610, 1615, 1620, 1630, 1650, 1660, 1680, 1710, 1720, 1730, 6340, 6910, 6920, 6930, 8115, 8135, 8145","D314, R706, R707, R799","DC, MD, VA",No,No,No,9/29/2016 11:22:37 AM,No,No
022366735,"111 Veteran Direct, LLC",,San Francisco,CA,8884910335,info@111veterandirect.com,www.111veterandirect.com,6/23/2015 12:00:00 AM,6/23/2017 12:00:00 AM,388 Market Street<br>Suite 1300,San Francisco,94111,,Limited Liability Company (LLC),2007.0,7CZR2,Yes,Yes,No,No,No,No,1.0,,1.0,,,,,8884910339,"333413, 333912, 333913, 337121, 337211, 337910, 339994, 423210, 423450, 423490, 424450, 532291","4310, 4930, 7920",,CA,No,No,No,10/9/2015 1:28:49 PM,No,No
078774103,"111 Veteran Medical, Inc.",,Las Vegas,NV,8884918386,info@111VeteranMedical.com,www.111VeteranMedical.com,7/13/2015 12:00:00 AM,7/13/2017 12:00:00 AM,3960 Howard Hughes Pkwy<br>Suite 500,Clark,89169,,C Corporation (Inc. or Ltd.),2013.0,6WWFo,Yes,Yes,No,No,No,No,1.0,,1.0,,,,,8884918389,"337910, 339112, 339113, 339994, 423210, 423450, 423490, 423620, 423840, 424110, 424120, 424130, 424320, 424330, 424340, 532291, 621610, 812331","4240, 6545, 7920",,NV,No,No,No,2/11/2016 7:49:35 PM,No,No
053540128,11th Hour Search LLC,,Springfield,VA,5713125908,alin@11thhourservice.com,www.11thHourService.com,6/9/2016 12:00:00 AM,6/9/2018 12:00:00 AM,6551 Loisdale Ct.<br>Suite 270,Fairfax,22150,2040,Sub Chapter S Corporation (Inc. or Ltd.),2006.0,6QUH3,No,No,No,No,No,No,62.0,2.0,1.0,,,,,5713846572,"541211, 541219, 541611, 541612, 541618, 561311, 561312, 561320",,"R408, R499, R703, R704, R710, R799","VA, XX",No,Yes,No,9/21/2016 11:12:26 AM,No,No
080318925,"19KILO Coffee, LLC",,Somerset,NJ,9082852401,david@19kilocoffee.com,www.19kilocoffee.com,9/27/2016 12:00:00 AM,9/27/2018 12:00:00 AM,14 Hageman Road,Somerset,08873,,Limited Liability Company (LLC),2016.0,,No,Yes,No,No,No,No,2.0,,1.0,0.0,0.0,0.0,0.0,9082762631,"445299, 454111",,,XX,No,No,No,9/27/2016 9:15:13 AM,No,No
035835327,"1ClickSecurity, LLC",,Alexandria,VA,7035933842,rodney.fuller@1clicksecurity.com,www.1ClickSecurity.com,4/15/2016 12:00:00 AM,4/15/2018 12:00:00 AM,4850 Eisenhower Ave.<br>Apt. 123,Alexandria City,22304,,Limited Liability Company (LLC),2013.0,73JE3,No,Yes,No,No,No,No,1.0,,1.0,0.0,0.0,0.0,0.0,,"541512, 541519, 541618, 541690, 611420",,,"DC, MD, VA",No,No,No,4/15/2016 9:27:44 AM,No,No
078635597,"1i Group, LLC",,San Antonio,TX,2108078777,1i@1igroup.com,www.1igroup.com,9/7/2016 12:00:00 AM,9/7/2018 12:00:00 AM,8930 Four Winds DR. Suite 224,Bexar,78239,,Limited Liability Company (LLC),2012.0,6SUP4,Yes,Yes,No,No,No,No,2.0,,2.0,,,,,2108530190,"331315, 331491, 335110, 335122, 335911, 335999, 337127, 423210, 423220, 423310, 423320, 423390, 423450, 423460, 423610, 423720, 423730, 423830, 423840, 423850, 423860, 423990, 424130, 424210, 424490, 424690, 424720, 424990, 425120","3110, 3120, 3130, 3920, 4510, 4520, 5510, 5530, 5620, 5640, 5650, 5660, 5675, 5680, 5920, 5930, 5975, 5999, 6110, 6130, 6135, 6140, 6145, 6150, 6210, 6230, 6240, 6250, 6260, 6508, 6510, 6515, 6520, 6530, 6532, 6640, 6650, 6830, 7105, 7125, 7195, 7210, 7230, 7240, 7290, 7310, 7910, 7920, 7930, 8530, 8540, 9130, 9140, 9150, 9505, 9510, 9515, 9520, 9525, 9530, 9535, 9540, 9545, 9610",,XX,No,No,No,9/7/2016 2:06:11 PM,No,No
078498943,1Mission Leadership LLC,,Roswell,GA,4046301939,peter.vanamburgh@1missionleadership.com,www.1missionleadership.com,3/30/2015 1:57:19 PM,3/30/2017 1:57:18 PM,170 Lochland Circle,Fulton,30075,,Limited Liability Company (LLC),2012.0,6RU56,No,Yes,No,No,No,No,2.0,,2.0,,,,,7705873746,"541611, 541612, 541618, 541720, 611430, 611710","1336, 1338, 1410, 1420, 1427, 1440, 1450, 1510, 1520, 1540, 1550, 1560, 1610, 1615, 1620, 1630, 1650, 1660, 1680, 1710, 1720, 1730, 2810, 2840, 2845, 2915, 2935, 2945, 2950, 2995, 6340, 6910, 6920, 6930, 8115, 8135, 8145","AD91, AF11, B538, B550, R408, R423, R499, U008, U009",GA,No,No,No,3/30/2015 1:57:19 PM,No,No
